issue,fix-commit,tests
TIKA-279,0297f443cdd0083445d3a37ca35d8ca87a5ec1e9,[]
TIKA-282,29ab691396ca430688876217a12ed039b5409a07,[]
TIKA-282,9c7c2c26deca3e473faedddff667249c11635d80,[]
TIKA-282,cacb6b8cddecd296f2923b90b8955e35588a909c,[]
TIKA-283,a68d61cc30e6508264365b7838ef34a92acbdfec,[]
TIKA-283,43bb4c6322386125e58aa9276e68764b9389190e,[]
TIKA-290,c9dfb89f029fe349a6057bec88d838b0200b9337,[]
TIKA-293,6c6c17dc1ad9fefa5f795410cce937af56b4558f,[]
TIKA-294,1cc319fa07f06043d7a39f64cca478e4441899dc,[]
TIKA-297,a463b9fd2ac3046b7e669b3549385f962a2482f5,[]
TIKA-297,26293c081dec22ba22f232f6d3d73c66a81e2ee9,[]
TIKA-304,29c9a2728a08f37ab270a6a6c2a679a7228758bb,[]
TIKA-305,03be219a6d7646d07c56b1cc98899d139cb62727,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/html/HtmlParserTest.java']
TIKA-309,39469baa4c0a991b171dd71b36f65c205058e462,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-core/src/test/java/org/apache/tika/mime/MimeDetectionTest.java']
TIKA-311,99c2dd5ea17081585bf559962e33366c4b2428d1,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/html/HtmlParserTest.java']
TIKA-312,e2049a1c4bf3cbdee365d0ed77ed5ebd6f802907,[]
TIKA-319,945871993c88dba87c6311f01e65bb1a61db12df,[]
TIKA-324,ac74696e322fa93bdbec982f55226f717be66d24,[]
TIKA-326,b4405b7be7210fb3a0d08bff33a274c229744ea3,[]
TIKA-329,61d64d2d6525caaef14d0e4f96c33c77f18512ff,[]
TIKA-339,16db6681ebfcbb622255f81f5006020af07c2d1e,"[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/html/HtmlParserTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/txt/TXTParserTest.java']"
TIKA-343,5df8f87c4c865942a0c0990bc2c00a6d2ad0320d,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/html/HtmlParserTest.java']
TIKA-343,ebe7995a870c96ad5a7c9b05ed24bdb940bd166a,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-core/src/test/java/org/apache/tika/sax/XHTMLContentHandlerTest.java']
TIKA-343,7ed838caf2579be3c2d450cad8b61a10cf36ef0e,[]
TIKA-343,2f0fa3b65a48bc4042491324cc546f9c32536c20,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/html/HtmlParserTest.java']
TIKA-346,4d89ea2c6349fe07b5dfc1134fa5cd4960a33710,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/pkg/ZipParserTest.java']
TIKA-371,11970650568d41bd2318d3513c011240b7be3ecf,"[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/microsoft/ooxml/OOXMLParserTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/microsoft/ExcelParserTest.java']"
TIKA-374,57cfc63946ebd79a3732d99955915f5e12fa75ea,[]
TIKA-378,6ef60c2efd0c2607c400ac8b9e66d605a4ea2267,[]
TIKA-378,3caba576686bcd6fe9e4501cd13e589a81032e2e,[]
TIKA-378,1cad9b3fc6100a3b0f4a73b5ffac2dd23c680a48,[]
TIKA-378,e64cad2d708e33347c8fa4a8b14a45554dd6b64a,[]
TIKA-378,090001dbcf35c5729167fec0947cff0988f08cfa,[]
TIKA-378,c9d44dbdd1cf61f17ed07d0df36af95d9ca51d0a,[]
TIKA-379,dd6330f7dfa0f836918306ee718e48f9c4418dbe,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/html/HtmlParserTest.java']
TIKA-379,9f10da2479473d7a16e333d727771376af5851df,[]
TIKA-386,29ab691396ca430688876217a12ed039b5409a07,[]
TIKA-386,9a049b4cd60afdfa1eb37d58485758f8125b5340,[]
TIKA-389,5451e28bc4506703205741b2163d785aa4e27826,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java']
TIKA-391,6f48f57a6a0f21e6589a1d512a25574425dcc4cb,"[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-core/src/test/java/org/apache/tika/mime/MimeTypesReaderTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-core/src/test/java/org/apache/tika/mime/MimeDetectionTest.java']"
TIKA-392,bbd3cd3e96c1c09bba0e6e8b3974cb67cff251cb,[]
TIKA-394,8a5f28845f28f5a5e2debdfc0fa3f89c738cd2fe,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-core/src/test/java/org/apache/tika/sax/XHTMLContentHandlerTest.java']
TIKA-395,cca6e63be096b1f1225ff7dea5336ee2048cb41b,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/microsoft/OutlookParserTest.java']
TIKA-404,9d31098ffa9f9779a28a7cee1b471c71f67b4266,[]
TIKA-404,a918dd64f4b96c362cf3648ebc9fbb6ec4eeca60,[]
TIKA-404,648b5bf9544ea72be5a9597802a17fc5acb44e1f,[]
TIKA-415,6f758f813c435105ebe289478fd01addd227c38b,[]
