issue,complete,valid_0,valid_1,valid_2,valid_3
LANG-1226,False,False,False,False,False,False
TIKA-520,False,False,False,False,False,False
LANG-936,True,False,False,True,False,False
LANG-1229,False,False,False,False,False,False
LANG-934,False,False,False,False,False,False
TIKA-748,False,False,False,False,False,False
TIKA-422,True,False,False,False,False,False
TIKA-1019,False,False,False,False,False,False
MATH-243,False,False,True,True,True,True
TIKA-1548,False,False,False,False,False,False
MATH-241,False,False,True,True,True,True
MATH-240,False,False,False,False,False,False
MATH-567,False,False,False,False,False,False
TIKA-1011,False,False,False,False,False,False
MATH-1118,False,False,False,False,False,False
TIKA-1015,False,False,False,False,False,False
MATH-1144,False,False,False,False,False,False
TIKA-180,False,False,False,False,False,False
MATH-1141,False,False,False,False,False,False
LANG-746,True,False,False,False,False,False
LANG-747,True,False,False,False,False,False
MATH-60,False,False,False,False,False,False
MATH-1226,False,False,False,False,False,False
MATH-1148,False,False,False,True,False,False
MATH-965,False,False,True,True,True,True
MATH-801,False,False,True,True,True,True
MATH-803,False,False,False,True,False,True
TIKA-1005,False,False,False,False,False,False
MATH-205,False,False,False,True,False,False
LANG-1087,False,False,False,False,False,False
TIKA-1310,False,False,False,False,False,False
LANG-1083,False,False,False,False,False,False
LANG-1081,False,False,False,False,False,False
LANG-1003,False,False,True,True,True,True
TIKA-633,True,False,False,False,False,False
TIKA-632,False,False,False,False,False,False
LANG-1120,False,False,False,False,False,False
LANG-1122,False,False,False,False,False,False
LANG-1123,False,False,False,False,False,False
MATH-947,False,False,False,False,False,False
LANG-638,True,False,False,False,False,False
TIKA-736,False,False,False,False,False,False
TIKA-738,False,False,False,False,False,False
LANG-636,True,False,False,False,False,False
LANG-981,False,False,True,True,True,True
LANG-987,False,False,False,True,True,True
LANG-984,False,False,False,False,False,False
TIKA-811,False,False,True,True,True,False
LANG-294,False,False,False,False,False,False
LANG-295,False,False,False,False,False,False
LANG-292,False,False,False,False,False,False
MATH-1241,False,False,False,False,False,False
TIKA-817,False,False,False,False,False,False
TIKA-781,False,False,False,False,False,False
LANG-440,True,False,False,False,False,False
MATH-1036,False,False,False,False,False,False
LANG-299,True,False,False,False,False,False
MATH-1131,False,False,False,False,False,False
MATH-1135,False,False,False,False,False,True
MATH-744,False,False,True,False,True,True
MATH-1136,False,False,True,True,True,True
MATH-1138,False,False,False,False,False,False
TIKA-1191,False,False,False,False,False,False
TIKA-379,False,False,False,False,False,False
LANG-596,True,False,False,False,False,False
LANG-1018,False,False,False,False,False,False
TIKA-924,False,False,False,False,False,False
LANG-1152,False,False,False,False,False,False
TIKA-257,False,False,False,False,False,False
TIKA-920,False,False,False,False,False,False
TIKA-923,False,False,False,False,False,False
TIKA-1295,False,False,False,False,False,False
LANG-368,True,False,False,False,False,False
TIKA-1291,False,False,False,False,False,False
TIKA-1742,False,False,False,False,False,False
TIKA-2025,False,False,False,False,False,False
TIKA-1292,False,False,False,False,False,False
LANG-363,True,False,False,False,False,False
LANG-360,True,False,False,False,False,False
LANG-365,True,False,False,False,False,False
MATH-1356,False,False,True,True,True,True
MATH-596,True,False,False,False,False,False
MATH-1450,False,False,False,False,False,False
MATH-85,False,False,False,False,False,False
TIKA-1341,False,False,False,False,False,False
COMPRESS-447,False,False,False,False,False,False
TIKA-214,False,False,False,False,False,False
COMPRESS-335,False,False,True,True,True,True
MATH-695,False,False,False,False,False,False
MATH-344,False,False,False,False,False,False
COMPRESS-331,False,False,False,False,False,False
MATH-343,False,False,True,True,True,True
MATH-692,False,False,True,True,True,True
MATH-413,False,False,False,False,False,False
COMPRESS-236,False,False,False,False,False,False
MATH-699,False,False,True,False,False,True
MATH-349,False,False,True,True,True,True
TIKA-1512,False,False,False,False,False,False
MATH-1082,False,False,False,False,False,False
TIKA-1044,False,False,False,False,False,False
TIKA-1048,False,False,False,False,False,False
TIKA-1519,False,False,False,False,False,False
TIKA-189,False,False,False,False,False,False
TIKA-801,False,False,False,False,False,False
TIKA-225,False,False,False,False,False,False
MATH-283,False,False,False,False,False,False
MATH-282,False,False,False,True,True,True
MATH-280,False,False,False,False,False,False
MATH-286,False,False,True,True,True,True
TIKA-1196,False,False,False,False,False,False
MATH-288,False,False,False,False,False,False
TIKA-1192,False,False,False,False,False,False
TIKA-1305,False,False,False,False,False,False
TIKA-179,False,False,False,False,False,False
MATH-1447,False,False,False,False,False,False
TIKA-1467,False,False,False,False,False,False
TIKA-1463,False,False,False,False,False,False
LANG-662,True,False,False,False,False,False
LANG-1287,False,False,False,False,False,False
LANG-1286,False,False,False,False,False,False
MATH-848,False,False,False,False,False,False
LANG-664,True,False,False,False,False,False
MATH-844,False,False,True,False,False,True
MATH-843,False,False,False,False,False,False
COMPRESS-191,False,False,False,False,False,False
COMPRESS-197,False,False,False,False,False,False
MATH-798,False,False,False,False,False,False
TIKA-854,False,False,False,False,False,False
TIKA-778,False,False,False,False,False,False
TIKA-1990,False,False,False,False,False,False
TIKA-672,False,False,False,False,False,False
LANG-1271,True,False,False,False,False,False
TIKA-777,False,False,False,False,False,False
LANG-1276,False,False,False,False,False,False
TIKA-1999,False,False,False,False,False,False
LANG-1371,False,False,False,False,False,False
LANG-1370,False,False,True,True,True,False
TIKA-1128,False,False,False,False,False,False
LANG-1374,False,False,False,False,False,False
MATH-238,False,False,False,False,False,False
TIKA-478,False,False,False,False,False,False
TIKA-1127,False,False,False,False,False,False
LANG-948,False,False,False,False,False,False
TIKA-1124,False,False,False,False,False,False
TIKA-915,False,False,True,True,True,False
TIKA-916,False,False,False,False,False,False
TIKA-698,False,False,True,True,True,True
MATH-1070,False,False,False,False,False,False
COMPRESS-490,False,False,True,True,True,True
COMPRESS-491,False,False,False,True,True,False
COMPRESS-492,False,False,True,True,True,True
MATH-1477,True,False,False,False,False,False
TIKA-697,False,False,False,False,False,False
MATH-1173,False,False,False,False,False,False
TIKA-1373,False,False,False,False,False,False
MATH-1272,False,False,False,False,False,False
MATH-930,False,False,False,False,False,False
COMPRESS-289,False,False,False,False,False,False
MATH-934,False,False,True,True,False,True
MATH-936,False,False,True,True,True,True
MATH-939,False,False,False,False,False,False
MATH-938,False,False,False,False,False,False
LANG-59,False,False,False,False,False,False
MATH-835,False,False,True,True,True,True
LANG-799,True,False,False,False,False,False
LANG-882,True,False,False,False,False,False
TIKA-592,True,False,False,False,False,False
LANG-1055,False,False,False,False,False,False
MATH-1211,False,False,False,False,False,False
LANG-1116,False,False,False,False,False,False
TIKA-210,False,False,True,False,True,False
LANG-1118,False,False,False,False,False,False
LANG-703,True,False,False,False,False,False
TIKA-828,False,False,True,False,False,True
LANG-538,True,False,False,False,False,False
TIKA-2100,False,False,False,False,False,False
MATH-1396,False,False,False,False,False,False
TIKA-820,False,False,False,False,False,False
TIKA-822,False,False,False,False,False,False
LANG-530,False,False,False,False,False,False
LANG-535,False,False,True,True,True,True
MATH-718,False,False,False,False,False,False
MATH-1005,False,False,False,False,False,False
MATH-1413,False,False,False,False,False,False
TIKA-483,False,False,False,True,False,False
MATH-713,False,False,True,True,True,True
MATH-716,False,False,True,False,True,True
COMPRESS-379,False,False,True,True,True,True
TIKA-1226,False,False,False,False,False,False
MATH-301,False,False,True,True,True,True
MATH-306,False,False,False,False,False,False
TIKA-1221,False,False,False,False,False,False
TIKA-1222,False,False,False,False,False,False
MATH-305,False,False,False,False,False,False
MATH-308,False,False,False,False,False,False
MATH-309,False,False,True,True,True,True
