project name,valid,type,issue,module,commit,parent,testcase,has_test_annotation,traces,bugged_components,description,extra_description
commons-lang_0,False,Auto-generated,LANG-984,commons-lang,cf4138d7bc1a892295ccd58ea8b42f7c8737239a,ddc06197e4c9cdd009ba2a039dca77099797c584,org.apache.commons.lang3.time.DurationFormatUtils_ESTest#test0,True,[],[],testcase genrated compilation error when patched,
commons-lang_0,False,Auto-generated,LANG-987,commons-lang,80bd3fdb42a5d816ded9d9111c7dac3ce57c3101,66a37174a0398d76ff95904c22e77bc65890eec0,org.apache.commons.lang3.time.DateUtils_ESTest#notGeneratedAnyTest,True,[],[u'org.apache.commons.lang3.time.DateUtils'],testcase passed in parent,
commons-lang_0,False,Auto-generated,LANG-992,commons-lang,cf03e6173b70ad64337704402bea51600cddd1ba,708da45999d8e545bfbae17a092c68df94061756,org.apache.commons.lang3.math.NumberUtils_ESTest#notGeneratedAnyTest,True,[],[u'org.apache.commons.lang3.math.NumberUtils'],testcase passed in parent,
commons-lang_0,False,Auto-generated,LANG-1000,commons-lang,22b6781a0b96418198dc9146e5191e51d381102f,2aae22de23bf47566700c0ca2671d25e30c4a857,org.apache.commons.lang3.time.FastDatePrinter_ESTest#notGeneratedAnyTest,True,[],"[u'org.apache.commons.lang3.time.FastDateParser', u'org.apache.commons.lang3.time.FastDatePrinter']",testcase passed in parent,
commons-lang_0,False,Auto-generated,LANG-1004,commons-lang,fd54d42f78ae17a96fc005d2fcd080807343aad7,00dc479f6a1d204d557f4cb1d981ba236fe09565,org.apache.commons.lang3.time.DurationFormatUtils_ESTest#notGeneratedAnyTest,True,[],[u'org.apache.commons.lang3.time.DurationFormatUtils'],testcase passed in parent,
commons-lang_0,False,Auto-generated,LANG-1018,commons-lang,8d6bc0ca625f3a1a98b486541fa613b2fac4b41c,7fd021d82ff431fb31f42bc6c5c44a3b979cb426,org.apache.commons.lang3.math.NumberUtils_ESTest#notGeneratedAnyTest,True,[],[u'org.apache.commons.lang3.math.NumberUtils'],testcase passed in parent,
commons-lang_0,False,Auto-generated,LANG-1060,commons-lang,c8e61afdb89c58ea8ffaf04593da41ff0888d30e,c3b1fefbad0c67c8556ba6b4573f135197f87598,org.apache.commons.lang3.math.NumberUtils_ESTest#notGeneratedAnyTest,True,[],[u'org.apache.commons.lang3.math.NumberUtils'],testcase passed in parent,
commons-lang_0,False,Auto-generated,LANG-1077,commons-lang,7fd021d82ff431fb31f42bc6c5c44a3b979cb426,f08c4f6ae9f8190bcaf0a8bbb82530233bf51bf9,org.apache.commons.lang3.StringUtils_ESTest#notGeneratedAnyTest,True,[],[u'org.apache.commons.lang3.StringUtils'],testcase passed in parent,
commons-lang_0,False,Auto-generated,LANG-1077,commons-lang,e5a3039f7a1e727fca40db7357a9191b6a7cf41d,05763470e5a067eb153533d47baa73174ad9bd46,org.apache.commons.lang3.StringUtils_ESTest#notGeneratedAnyTest,True,[],[u'org.apache.commons.lang3.StringUtils'],testcase passed in parent,
commons-lang_0,False,Auto-generated,LANG-1081,commons-lang,ffc38b1f3b35ddfadb942240b9d2f933ec83d1be,3181b407668fa09b83ff80126b5abdfc4074ab9a,org.apache.commons.lang3.builder.DiffBuilder_ESTest#notGeneratedAnyTest,True,[],[u'org.apache.commons.lang3.builder.DiffBuilder'],testcase passed in parent,
commons-lang_0,False,Auto-generated,LANG-1083,commons-lang,6eac3468d4569e64f18757225aa8f7fd6f2a5241,89c8519238523873277e76ea87422aebaf17898c,org.apache.commons.lang3.SerializationUtils_ESTest#notGeneratedAnyTest,True,[],[u'org.apache.commons.lang3.SerializationUtils'],testcase passed in parent,
commons-lang_0,False,Auto-generated,LANG-1120,commons-lang,a0b798c27a0312df2a110073bd7888993e56d05c,dd5a0e6e1e3edb41afb4b40e4ec2c99e5932e73c,org.apache.commons.lang3.StringUtils_ESTest#notGeneratedAnyTest,True,[],[u'org.apache.commons.lang3.StringUtils'],testcase passed in parent,
commons-lang_0,False,Auto-generated,LANG-1190,commons-lang,13cd4e0ac3ab76a4dc091eda457f9a111727cba2,7e85d1cf54b1e467607a0019b56f91577ebe2e4f,org.apache.commons.lang3.reflect.TypeUtils_ESTest#notGeneratedAnyTest,True,[],[u'org.apache.commons.lang3.reflect.TypeUtils'],testcase passed in parent,
commons-lang_0,False,Auto-generated,LANG-1191,commons-lang,3af7d0dace7bee3f42b88abcaca853765cee3557,04a5d83aecc325f87696c83b1a5dba45584ddaa7,org.apache.commons.lang3.StringUtils_ESTest#notGeneratedAnyTest,True,[],[u'org.apache.commons.lang3.StringUtils'],testcase passed in parent,
commons-lang_0,False,Auto-generated,LANG-1202,commons-lang,c99a787752770b8952297e24e07bd404cb2f4f74,ac1c341558ae3139a5c1eb07bf148230192d6f57,org.apache.commons.lang3.time.DateUtilsTest#testConstructor,True,[],[],No report,
commons-lang_0,False,Auto-generated,LANG-1202,commons-lang,c99a787752770b8952297e24e07bd404cb2f4f74,ac1c341558ae3139a5c1eb07bf148230192d6f57,org.apache.commons.lang3.time.DateUtilsTest#testIsSameDay_Date,True,[],[],No report,
commons-lang_0,False,Auto-generated,LANG-1202,commons-lang,c99a787752770b8952297e24e07bd404cb2f4f74,ac1c341558ae3139a5c1eb07bf148230192d6f57,org.apache.commons.lang3.time.DateUtilsTest#testIsDameDay_DateNullNull,True,[],[],No report,
commons-lang_0,False,Auto-generated,LANG-1202,commons-lang,c99a787752770b8952297e24e07bd404cb2f4f74,ac1c341558ae3139a5c1eb07bf148230192d6f57,org.apache.commons.lang3.time.DateUtilsTest#testIsSameDay_Cal,True,[],[],No report,
commons-lang_0,False,Auto-generated,LANG-1202,commons-lang,c99a787752770b8952297e24e07bd404cb2f4f74,ac1c341558ae3139a5c1eb07bf148230192d6f57,org.apache.commons.lang3.time.DateUtilsTest#testIsSameDay_CalNullNull,True,[],[],No report,
commons-lang_0,False,Auto-generated,LANG-1202,commons-lang,c99a787752770b8952297e24e07bd404cb2f4f74,ac1c341558ae3139a5c1eb07bf148230192d6f57,org.apache.commons.lang3.time.DateUtilsTest#testIsSameInstant_Date,True,[],[],No report,
commons-lang_0,False,Auto-generated,LANG-1202,commons-lang,c99a787752770b8952297e24e07bd404cb2f4f74,ac1c341558ae3139a5c1eb07bf148230192d6f57,org.apache.commons.lang3.time.DateUtilsTest#testIsSameInstant_DateNullNull,True,[],[],No report,
commons-lang_0,False,Auto-generated,LANG-1202,commons-lang,c99a787752770b8952297e24e07bd404cb2f4f74,ac1c341558ae3139a5c1eb07bf148230192d6f57,org.apache.commons.lang3.time.DateUtilsTest#testIsSameInstant_Cal,True,[],[],No report,
commons-lang_0,False,Auto-generated,LANG-1202,commons-lang,c99a787752770b8952297e24e07bd404cb2f4f74,ac1c341558ae3139a5c1eb07bf148230192d6f57,org.apache.commons.lang3.time.DateUtilsTest#testIsSameInstant_CalNullNull,True,[],[],No report,
commons-lang_0,False,Auto-generated,LANG-1202,commons-lang,c99a787752770b8952297e24e07bd404cb2f4f74,ac1c341558ae3139a5c1eb07bf148230192d6f57,org.apache.commons.lang3.time.DateUtilsTest#testIsSameLocalTime_Cal,True,[],[],No report,
commons-lang_0,False,Auto-generated,LANG-1202,commons-lang,c99a787752770b8952297e24e07bd404cb2f4f74,ac1c341558ae3139a5c1eb07bf148230192d6f57,org.apache.commons.lang3.time.DateUtilsTest#testIsSameLocalTime_CalNullNull,True,[],[],No report,
commons-lang_0,False,Auto-generated,LANG-1202,commons-lang,c99a787752770b8952297e24e07bd404cb2f4f74,ac1c341558ae3139a5c1eb07bf148230192d6f57,org.apache.commons.lang3.time.DateUtilsTest#testParseDate,True,[],[],No report,
commons-lang_0,False,Auto-generated,LANG-1202,commons-lang,c99a787752770b8952297e24e07bd404cb2f4f74,ac1c341558ae3139a5c1eb07bf148230192d6f57,org.apache.commons.lang3.time.DateUtilsTest#testParseDate_NoDateString,True,[],[],No report,
commons-lang_0,False,Auto-generated,LANG-1202,commons-lang,c99a787752770b8952297e24e07bd404cb2f4f74,ac1c341558ae3139a5c1eb07bf148230192d6f57,org.apache.commons.lang3.time.DateUtilsTest#testParseDate_InvalidDateString,True,[],[],No report,
commons-lang_0,False,Auto-generated,LANG-1202,commons-lang,c99a787752770b8952297e24e07bd404cb2f4f74,ac1c341558ae3139a5c1eb07bf148230192d6f57,org.apache.commons.lang3.time.DateUtilsTest#testParseDate_Null,True,[],[],No report,
commons-lang_0,False,Auto-generated,LANG-1202,commons-lang,c99a787752770b8952297e24e07bd404cb2f4f74,ac1c341558ae3139a5c1eb07bf148230192d6f57,org.apache.commons.lang3.time.DateUtilsTest#testParse_NullParsers,True,[],[],No report,
commons-lang_0,False,Auto-generated,LANG-1202,commons-lang,c99a787752770b8952297e24e07bd404cb2f4f74,ac1c341558ae3139a5c1eb07bf148230192d6f57,org.apache.commons.lang3.time.DateUtilsTest#testParse_EmptyParsers,True,[],[],No report,
commons-lang_0,False,Auto-generated,LANG-1202,commons-lang,c99a787752770b8952297e24e07bd404cb2f4f74,ac1c341558ae3139a5c1eb07bf148230192d6f57,org.apache.commons.lang3.time.DateUtilsTest#testParseDateWithLeniency,True,[],[],No report,
commons-lang_0,False,Auto-generated,LANG-1202,commons-lang,c99a787752770b8952297e24e07bd404cb2f4f74,ac1c341558ae3139a5c1eb07bf148230192d6f57,org.apache.commons.lang3.time.DateUtilsTest#testAddYears,True,[],[],No report,
commons-lang_0,False,Auto-generated,LANG-1202,commons-lang,c99a787752770b8952297e24e07bd404cb2f4f74,ac1c341558ae3139a5c1eb07bf148230192d6f57,org.apache.commons.lang3.time.DateUtilsTest#testAddMonths,True,[],[],No report,
commons-lang_0,False,Auto-generated,LANG-1202,commons-lang,c99a787752770b8952297e24e07bd404cb2f4f74,ac1c341558ae3139a5c1eb07bf148230192d6f57,org.apache.commons.lang3.time.DateUtilsTest#testAddWeeks,True,[],[],No report,
commons-lang_0,False,Auto-generated,LANG-1202,commons-lang,c99a787752770b8952297e24e07bd404cb2f4f74,ac1c341558ae3139a5c1eb07bf148230192d6f57,org.apache.commons.lang3.time.DateUtilsTest#testAddDays,True,[],[],No report,
commons-lang_0,False,Auto-generated,LANG-1202,commons-lang,c99a787752770b8952297e24e07bd404cb2f4f74,ac1c341558ae3139a5c1eb07bf148230192d6f57,org.apache.commons.lang3.time.DateUtilsTest#testAddHours,True,[],[],No report,
commons-lang_0,False,Auto-generated,LANG-1202,commons-lang,c99a787752770b8952297e24e07bd404cb2f4f74,ac1c341558ae3139a5c1eb07bf148230192d6f57,org.apache.commons.lang3.time.DateUtilsTest#testAddMinutes,True,[],[],No report,
commons-lang_0,False,Auto-generated,LANG-1202,commons-lang,c99a787752770b8952297e24e07bd404cb2f4f74,ac1c341558ae3139a5c1eb07bf148230192d6f57,org.apache.commons.lang3.time.DateUtilsTest#testAddSeconds,True,[],[],No report,
commons-lang_0,False,Auto-generated,LANG-1202,commons-lang,c99a787752770b8952297e24e07bd404cb2f4f74,ac1c341558ae3139a5c1eb07bf148230192d6f57,org.apache.commons.lang3.time.DateUtilsTest#testAddMilliseconds,True,[],[],No report,
commons-lang_0,False,Auto-generated,LANG-1202,commons-lang,c99a787752770b8952297e24e07bd404cb2f4f74,ac1c341558ae3139a5c1eb07bf148230192d6f57,org.apache.commons.lang3.time.DateUtilsTest#testSetYears,True,[],[],No report,
commons-lang_0,False,Auto-generated,LANG-1202,commons-lang,c99a787752770b8952297e24e07bd404cb2f4f74,ac1c341558ae3139a5c1eb07bf148230192d6f57,org.apache.commons.lang3.time.DateUtilsTest#testSetMonths,True,[],[],No report,
commons-lang_0,False,Auto-generated,LANG-1202,commons-lang,c99a787752770b8952297e24e07bd404cb2f4f74,ac1c341558ae3139a5c1eb07bf148230192d6f57,org.apache.commons.lang3.time.DateUtilsTest#testSetDays,True,[],[],No report,
commons-lang_0,False,Auto-generated,LANG-1202,commons-lang,c99a787752770b8952297e24e07bd404cb2f4f74,ac1c341558ae3139a5c1eb07bf148230192d6f57,org.apache.commons.lang3.time.DateUtilsTest#testSetHours,True,[],[],No report,
commons-lang_0,False,Auto-generated,LANG-1202,commons-lang,c99a787752770b8952297e24e07bd404cb2f4f74,ac1c341558ae3139a5c1eb07bf148230192d6f57,org.apache.commons.lang3.time.DateUtilsTest#testSetMinutes,True,[],[],No report,
commons-lang_0,False,Auto-generated,LANG-1202,commons-lang,c99a787752770b8952297e24e07bd404cb2f4f74,ac1c341558ae3139a5c1eb07bf148230192d6f57,org.apache.commons.lang3.time.DateUtilsTest#testSetSeconds,True,[],[],No report,
commons-lang_0,False,Auto-generated,LANG-1202,commons-lang,c99a787752770b8952297e24e07bd404cb2f4f74,ac1c341558ae3139a5c1eb07bf148230192d6f57,org.apache.commons.lang3.time.DateUtilsTest#testSetMilliseconds,True,[],[],No report,
