issue,fix-commit,tests
MATH-273,59434c2dce49e0104b4c7d51b7502e4eae7d2773,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/optimization/linear/SimplexSolverTest.java']
MATH-274,6b547ba222e6d70b0351cfd354e1d3497da9e24f,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/linear/CholeskyDecompositionImplTest.java']
MATH-279,e4a8fdfdf114eba50a955bf3bf24a4e4ce516fda,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/stat/regression/GLSMultipleLinearRegressionTest.java']
MATH-280,ea0ea8267309e94a8f2393829cbf1c1669abf5c9,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtilsTest.java']
MATH-280,b9d8c68e2f5f7f3a13773140a7ee4bf62972f17c,"[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/distribution/NormalDistributionTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtilsTest.java']"
MATH-281,0cf09657de850bc1da4789fba466bce4ddd10824,[]
MATH-282,439cb994d17bf227e47db9ae076c0f3ea9f3d61c,"[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/java/org/apache/commons/math/distribution/WeibullDistributionTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/java/org/apache/commons/math/distribution/ChiSquareDistributionTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/java/org/apache/commons/math/distribution/TDistributionTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/java/org/apache/commons/math/distribution/GammaDistributionTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/java/org/apache/commons/math/distribution/NormalDistributionTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/java/org/apache/commons/math/distribution/FDistributionTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/java/org/apache/commons/math/distribution/ExponentialDistributionTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/java/org/apache/commons/math/distribution/CauchyDistributionTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/java/org/apache/commons/math/random/RandomDataTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/java/org/apache/commons/math/distribution/ContinuousDistributionAbstractTest.java']"
MATH-282,09a4643e101e9b42537806eea6601eb2f389f4b9,"[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/java/org/apache/commons/math/distribution/NormalDistributionTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/java/org/apache/commons/math/special/ErfTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/java/org/apache/commons/math/distribution/PoissonDistributionTest.java']"
MATH-283,8fe6a83eb60b7b16cac065b68e60c637d64d5932,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/java/org/apache/commons/math/optimization/direct/MultiDirectionalTest.java']
MATH-286,aa91ffbe330de2586010ab91dc3bb18eef33974b,"[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/java/org/apache/commons/math/optimization/linear/SimplexSolverTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-math\\src/test/java/org/apache/commons/math/optimization/linear/SimplexTableauTest.java']"
