issue,fix-commit,tests
COMPRESS-335,7250daa429020181bb5a4c40d1aaa169631b8496,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-compress\\src/test/java/org/apache/commons/compress/DetectArchiverTestCase.java']
COMPRESS-336,32633c39ffe7aa2ba24899877c7425803b10444d,[]
COMPRESS-343,f9334473bd9993f38458ecee137ba9e7f7b79abb,[]
COMPRESS-343,73ec9c125fc4cafada4434b02d603d41e092b675,[]
COMPRESS-343,a2ba6d54852aceda5e3bf9285730da743ef04e77,[]
COMPRESS-344,a5eca568368b287f875149133a7ff6029b07aad8,[]
COMPRESS-348,d0501577d37b594c3ff59a39ac211f7a1b170fa7,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-compress\\src/test/java/org/apache/commons/compress/archivers/sevenz/SevenZFileTest.java']
COMPRESS-351,b5071c2f8bcaa96cc9efb0214b2896cc26996ca9,[]
COMPRESS-351,11840dfde044fec90b0cb4a715ce9d213acea3ca,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-compress\\src/test/java/org/apache/commons/compress/ArchiveUtilsTest.java']
COMPRESS-351,318de9ae84f1731fda8ce0785ae537f149ea5fcf,[]
COMPRESS-351,ddb8f08c79b8568c9cba3af61fb5a613e0ccba22,[]
COMPRESS-354,3083ea535f6d76c93825d7a7bd1dbea227f447a5,[]
COMPRESS-355,19a620c904587dc0397b43bfe9071ff60033c097,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-compress\\src/test/java/org/apache/commons/compress/archivers/tar/TarArchiveInputStreamTest.java']
COMPRESS-356,823cdee9b18508e9e51913d110a20a406f55582b,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-compress\\src/test/java/org/apache/commons/compress/archivers/tar/TarArchiveInputStreamTest.java']
COMPRESS-357,2424036c286f0b3dfc280f00a1e835cb52e39375,[]
COMPRESS-357,abc2d23900ff5adeef648879af6bc4d2f79c261e,[]
COMPRESS-357,f87a7ce9321b4901a77786387cfe8026f1249721,[]
COMPRESS-357,8769bb6980ea9d46f8fbec1fa1075128d6f61936,[]
COMPRESS-357,952a50372dea32e78800b5127ce3e969ce8ba5f0,[]
COMPRESS-358,5a5abeeb1bdf4bf7a1930af97d500927caeb39d7,[]
COMPRESS-358,2139e87447c825bfd8c7e728cbfab542d1bb6fea,[]
COMPRESS-358,e4658ae28cf7204af2ddfa0abfc8f03c2026ba59,[]
COMPRESS-358,d9421dc3c843177ba7d59ea47319997cfdecc697,[]
COMPRESS-358,9ae37525134089dd0c9ee1cf8738192b70e0fc07,[]
COMPRESS-363,52dd5908e374973d69c51856b74d4d93d591c90a,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-compress\\src/test/java/org/apache/commons/compress/utils/BitInputStreamTest.java']
COMPRESS-366,f0102601d2b949ab63f9f3e6d20618a0b53323ee,[]
COMPRESS-367,f015344879f1bc3505bc616fc7ae517cf9f60838,"[u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-compress\\src/test/java/org/apache/commons/compress/archivers/zip/ZipArchiveInputStreamTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\commons-compress\\src/test/java/org/apache/commons/compress/archivers/ZipTestCase.java']"
COMPRESS-377,85184c3a8945ee1cd22a3fa3a9b8cb71346f2d73,[]
